run_id,candidates,time_elapsed,logL,true_minus_current
r10_s10000_fast_gtr_findopt500_mean_of_10,500,10.3232,-668342.343652,10487.0839621
r10_s10000_fast_gtr_findopt500_mean_of_10,501,10.3383,-668187.6378402088,10332.378149858607
r10_s10000_fast_gtr_findopt500_mean_of_10,501,10.3466,-668185.3034116076,10330.043721141077
r10_s10000_fast_gtr_findopt500_mean_of_10,502,10.3685,-667836.850043609,9981.590353192718
r10_s10000_fast_gtr_findopt500_mean_of_10,501,10.369,-667760.6505717434,9905.390881388357
r10_s10000_fast_gtr_findopt500_mean_of_10,504,10.4108,-667504.2011474548,9648.941457062077
r10_s10000_fast_gtr_findopt500_mean_of_10,503,10.412,-667383.4835804068,9528.223890017263
r10_s10000_fast_gtr_findopt500_mean_of_10,504,10.436,-667308.9354583436,9453.675767917055
r10_s10000_fast_gtr_findopt500_mean_of_10,504,10.4382,-667220.8661100608,9365.606419674079
r10_s10000_fast_gtr_findopt500_mean_of_10,508,10.4999,-667218.1214377921,9362.861747372152
r10_s10000_fast_gtr_findopt500_mean_of_10,989,17.2519,-664816.3809615686,6961.121271263364
r10_s10000_fast_gtr_findopt500_mean_of_10,996,17.3542,-664779.1622478542,6923.90255754944
r10_s10000_fast_gtr_findopt500_mean_of_10,997,17.3594,-664777.5654548738,6922.3057645690815
r10_s10000_fast_gtr_findopt500_mean_of_10,997,17.3676,-664775.2592937351,6919.9996034302585
r10_s10000_fast_gtr_findopt500_mean_of_10,998,17.3769,-664772.6764114208,6917.416721115791
r10_s10000_fast_gtr_findopt500_mean_of_10,999,17.3953,-664767.5617902656,6912.302099960432
r10_s10000_fast_gtr_findopt500_mean_of_10,1004,17.4614,-664751.0109103264,6895.751220019479
r10_s10000_fast_gtr_findopt500_mean_of_10,1005,17.4769,-664747.5322772167,6892.272586909491
r10_s10000_fast_gtr_findopt500_mean_of_10,1005,17.4834,-664745.721826469,6890.462136161569
r10_s10000_fast_gtr_findopt500_mean_of_10,1011,17.5583,-664729.2940936527,6874.03440334376
r10_s10000_fast_gtr_findopt500_mean_of_10,1480,24.1297,-663266.5439813014,5411.284290874196
r10_s10000_fast_gtr_findopt500_mean_of_10,1495,24.3414,-663227.8017048242,5372.542014392234
r10_s10000_fast_gtr_findopt500_mean_of_10,1496,24.3534,-663225.6382384094,5370.378547977159
r10_s10000_fast_gtr_findopt500_mean_of_10,1498,24.3766,-663221.8039520084,5366.544261575264
r10_s10000_fast_gtr_findopt500_mean_of_10,1498,24.3812,-663221.0388777691,5365.779187335906
r10_s10000_fast_gtr_findopt500_mean_of_10,1504,24.4685,-663207.7276774371,5352.467987002284
r10_s10000_fast_gtr_findopt500_mean_of_10,1506,24.494,-663204.4003438964,5349.140653461114
r10_s10000_fast_gtr_findopt500_mean_of_10,1506,24.4974,-663204.1226090402,5348.8629186049575
r10_s10000_fast_gtr_findopt500_mean_of_10,1508,24.5221,-663201.2324935247,5345.972803089344
r10_s10000_fast_gtr_findopt500_mean_of_10,1510,24.5522,-663197.6625136707,5342.402823235552
r10_s10000_fast_gtr_findopt500_mean_of_10,1969,30.9835,-662416.1062753155,4560.846584898887
r10_s10000_fast_gtr_findopt500_mean_of_10,1985,31.1968,-662388.5393903863,4533.279699974081
r10_s10000_fast_gtr_findopt500_mean_of_10,1993,31.3165,-662372.4697543893,4517.210063982097
r10_s10000_fast_gtr_findopt500_mean_of_10,1999,31.392,-662363.3532722592,4508.093581855972
r10_s10000_fast_gtr_findopt500_mean_of_10,2001,31.4217,-662359.6164137602,4504.356723358603
r10_s10000_fast_gtr_findopt500_mean_of_10,2006,31.4972,-662349.1507744163,4493.891084017423
r10_s10000_fast_gtr_findopt500_mean_of_10,2010,31.553,-662341.9235840245,4486.663893627289
r10_s10000_fast_gtr_findopt500_mean_of_10,2010,31.5578,-662341.0553784814,4485.795688084277
r10_s10000_fast_gtr_findopt500_mean_of_10,2014,31.6083,-662333.9365062241,4478.676815828004
r10_s10000_fast_gtr_findopt500_mean_of_10,2015,31.6183,-662332.6385684232,4477.378878027253
r10_s10000_fast_gtr_findopt500_mean_of_10,2459,37.8548,-661531.6151354943,3676.3554451784657
r10_s10000_fast_gtr_findopt500_mean_of_10,2474,38.0552,-661508.2974803466,3653.03779002982
r10_s10000_fast_gtr_findopt500_mean_of_10,2489,38.2735,-661483.7251191193,3628.4654287998396
r10_s10000_fast_gtr_findopt500_mean_of_10,2497,38.3843,-661471.0143676649,3615.754677342725
r10_s10000_fast_gtr_findopt500_mean_of_10,2504,38.4799,-661457.9351648618,3602.6754745381995
r10_s10000_fast_gtr_findopt500_mean_of_10,2507,38.5211,-661452.9369463047,3597.6772559806473
r10_s10000_fast_gtr_findopt500_mean_of_10,2515,38.6305,-661440.9723295665,3585.7126392424166
r10_s10000_fast_gtr_findopt500_mean_of_10,2515,38.637,-661440.4813684437,3585.221678119625
r10_s10000_fast_gtr_findopt500_mean_of_10,2518,38.6787,-661436.6111547244,3581.351464400749
r10_s10000_fast_gtr_findopt500_mean_of_10,2525,38.7729,-661426.4677045681,3571.2080142448576
r10_s10000_fast_gtr_findopt500_mean_of_10,2946,44.6763,-660784.095732821,2928.8360424551656
r10_s10000_fast_gtr_findopt500_mean_of_10,2963,44.9163,-660758.8612224915,2903.6015321247937
r10_s10000_fast_gtr_findopt500_mean_of_10,2990,45.2894,-660720.1028686736,2864.84317830239
r10_s10000_fast_gtr_findopt500_mean_of_10,2994,45.3447,-660714.5949790261,2859.335288654292
r10_s10000_fast_gtr_findopt500_mean_of_10,3003,45.4747,-660704.7643457369,2849.504655361262
r10_s10000_fast_gtr_findopt500_mean_of_10,3010,45.5671,-660694.1731745519,2838.9134841736113
r10_s10000_fast_gtr_findopt500_mean_of_10,3017,45.6669,-660683.3198256199,2828.0601352390604
r10_s10000_fast_gtr_findopt500_mean_of_10,3022,45.733,-660677.0321135544,2821.7724231710554
r10_s10000_fast_gtr_findopt500_mean_of_10,3022,45.735,-660676.8680661056,2821.6083757221722
r10_s10000_fast_gtr_findopt500_mean_of_10,3035,45.9234,-660665.1984268001,2809.938736410828
r10_s10000_fast_gtr_findopt500_mean_of_10,3433,51.4944,-660314.8732542985,2459.613563820178
r10_s10000_fast_gtr_findopt500_mean_of_10,3452,51.7683,-660297.915621829,2442.655931347864
r10_s10000_fast_gtr_findopt500_mean_of_10,3490,52.2891,-660269.8357510073,2414.5760605239316
r10_s10000_fast_gtr_findopt500_mean_of_10,3492,52.3204,-660268.0991342606,2412.8394437773213
r10_s10000_fast_gtr_findopt500_mean_of_10,3506,52.5203,-660257.8065707247,2402.546880244551
r10_s10000_fast_gtr_findopt500_mean_of_10,3513,52.6123,-660255.4176844355,2400.1579939560406
r10_s10000_fast_gtr_findopt500_mean_of_10,3519,52.6997,-660253.1598983954,2397.9002079162988
r10_s10000_fast_gtr_findopt500_mean_of_10,3525,52.7795,-660250.7921796541,2395.532489173979
r10_s10000_fast_gtr_findopt500_mean_of_10,3529,52.8348,-660249.1513920943,2393.891701613825
r10_s10000_fast_gtr_findopt500_mean_of_10,3548,53.1033,-660241.5162203124,2386.2565298333757
r10_s10000_fast_gtr_findopt500_mean_of_10,3918,58.285,-660067.8058580247,2212.5461675656675
r10_s10000_fast_gtr_findopt500_mean_of_10,3941,58.6124,-660056.3873578269,2201.1276673717543
r10_s10000_fast_gtr_findopt500_mean_of_10,3987,59.2549,-660034.5093300628,2179.2496396140023
r10_s10000_fast_gtr_findopt500_mean_of_10,3993,59.3351,-660031.7699654339,2176.510274986023
r10_s10000_fast_gtr_findopt500_mean_of_10,4013,59.616,-660020.4408956361,2165.1812051909787
r10_s10000_fast_gtr_findopt500_mean_of_10,4015,59.6424,-660019.7320312136,2164.4723407688984
r10_s10000_fast_gtr_findopt500_mean_of_10,4016,59.6575,-660019.2237594033,2163.9640689591065
r10_s10000_fast_gtr_findopt500_mean_of_10,4032,59.8818,-660011.8540184293,2156.5943279903536
r10_s10000_fast_gtr_findopt500_mean_of_10,4036,59.93,-660010.2504014506,2154.990711012643
r10_s10000_fast_gtr_findopt500_mean_of_10,4055,60.1979,-660000.4317954284,2145.1721049909966
r10_s10000_fast_gtr_findopt500_mean_of_10,4405,65.0801,-659866.476442269,2011.216751835919
r10_s10000_fast_gtr_findopt500_mean_of_10,4433,65.479,-659855.6075973763,2000.3479069398902
r10_s10000_fast_gtr_findopt500_mean_of_10,4479,66.1232,-659837.5236567038,1982.2639662630322
