run_id,candidates,time_elapsed,logL,true_minus_current
20260805-205046_r10_s10000_fast_gtr_findopt500,0,3.37973,-722502.707262,64647.4475715
20260805-205046_r10_s10000_fast_gtr_findopt500,15,3.59008,-722427.228316,64571.9686252
20260805-205046_r10_s10000_fast_gtr_findopt500,41,3.95485,-722346.183249,64490.9235591
20260805-205046_r10_s10000_fast_gtr_findopt500,48,4.052,-722141.275888,64286.0161972
20260805-205046_r10_s10000_fast_gtr_findopt500,54,4.13647,-722132.950221,64277.6905306
20260805-205046_r10_s10000_fast_gtr_findopt500,76,4.44603,-721624.770449,63769.5107588
20260805-205046_r10_s10000_fast_gtr_findopt500,83,4.54372,-719852.729833,61997.4701425
20260805-205046_r10_s10000_fast_gtr_findopt500,89,4.62812,-719515.331032,61660.0713417
20260805-205046_r10_s10000_fast_gtr_findopt500,107,4.88057,-719145.411591,61290.151901
20260805-205046_r10_s10000_fast_gtr_findopt500,178,5.87291,-718451.770209,60596.510519
20260805-205046_r10_s10000_fast_gtr_findopt500,180,5.9004,-718383.360946,60528.101256
20260805-205046_r10_s10000_fast_gtr_findopt500,209,6.30631,-718336.361506,60481.1018159
20260805-205046_r10_s10000_fast_gtr_findopt500,214,6.37697,-717684.990987,59829.7312969
20260805-205046_r10_s10000_fast_gtr_findopt500,220,6.46087,-716310.709257,58455.4495664
20260805-205046_r10_s10000_fast_gtr_findopt500,256,6.96871,-716169.862665,58314.6029744
20260805-205046_r10_s10000_fast_gtr_findopt500,263,7.06695,-715849.42577,57994.1660797
20260805-205046_r10_s10000_fast_gtr_findopt500,268,7.13756,-715680.992501,57825.7328107
20260805-205046_r10_s10000_fast_gtr_findopt500,311,7.74261,-715638.175522,57782.9158317
20260805-205046_r10_s10000_fast_gtr_findopt500,317,7.82773,-715478.561389,57623.3016981
20260805-205046_r10_s10000_fast_gtr_findopt500,321,7.88442,-714882.309624,57027.049934
20260805-205046_r10_s10000_fast_gtr_findopt500,332,8.04016,-714769.578185,56914.3184942
20260805-205046_r10_s10000_fast_gtr_findopt500,358,8.40723,-714553.112828,56697.8531372
20260805-205046_r10_s10000_fast_gtr_findopt500,389,8.84523,-714448.025995,56592.7663046
20260805-205046_r10_s10000_fast_gtr_findopt500,406,9.08541,-714343.983264,56488.7235738
20260805-205046_r10_s10000_fast_gtr_findopt500,419,9.26869,-714332.811548,56477.5518576
20260805-205046_r10_s10000_fast_gtr_findopt500,421,9.29603,-714077.311412,56222.0517218
20260805-205046_r10_s10000_fast_gtr_findopt500,427,9.37942,-714018.243636,56162.9839458
20260805-205046_r10_s10000_fast_gtr_findopt500,467,9.94346,-713956.499636,56101.2399456
20260805-205046_r10_s10000_fast_gtr_findopt500,478,10.0981,-713194.260928,55339.001238
20260805-205046_r10_s10000_fast_gtr_findopt500,531,10.8459,-713174.215594,55318.9559041
20260805-205046_r10_s10000_fast_gtr_findopt500,548,11.0823,-712907.417185,55052.1574948
20260805-205046_r10_s10000_fast_gtr_findopt500,570,11.3933,-712887.078241,55031.8185508
20260805-205046_r10_s10000_fast_gtr_findopt500,604,11.8699,-712832.073683,54976.8139931
20260805-205046_r10_s10000_fast_gtr_findopt500,624,12.1469,-712825.001124,54969.7414339
20260805-205046_r10_s10000_fast_gtr_findopt500,632,12.2586,-712691.438975,54836.1792842
20260805-205046_r10_s10000_fast_gtr_findopt500,680,12.9259,-712259.534018,54404.2743273
20260805-205046_r10_s10000_fast_gtr_findopt500,691,13.0779,-711519.221132,53663.9614413
20260805-205046_r10_s10000_fast_gtr_findopt500,764,14.0943,-711020.238233,53164.9785429
20260805-205046_r10_s10000_fast_gtr_findopt500,804,14.6501,-710764.279761,52909.0200711
20260805-205046_r10_s10000_fast_gtr_findopt500,868,15.5401,-710602.447164,52747.1874733
20260805-205046_r10_s10000_fast_gtr_findopt500,890,15.846,-710549.364183,52694.1044924
20260805-205046_r10_s10000_fast_gtr_findopt500,895,15.9158,-710455.68389,52600.4241993
20260805-205046_r10_s10000_fast_gtr_findopt500,943,16.5843,-710343.470522,52488.2108316
20260805-205046_r10_s10000_fast_gtr_findopt500,1068,18.3247,-710319.343708,52464.084018
20260805-205046_r10_s10000_fast_gtr_findopt500,1103,18.8156,-710319.007689,52463.7479988
20260805-205046_r10_s10000_fast_gtr_findopt500,1107,18.8723,-710074.382308,52219.1226173
20260805-205046_r10_s10000_fast_gtr_findopt500,1119,19.0414,-709709.874548,51854.614858
20260805-205046_r10_s10000_fast_gtr_findopt500,1120,19.0548,-709036.292714,51181.0330234
20260805-205046_r10_s10000_fast_gtr_findopt500,1163,19.66,-709032.957667,51177.697977
20260805-205046_r10_s10000_fast_gtr_findopt500,1193,20.0835,-709022.201733,51166.9420426
20260805-205046_r10_s10000_fast_gtr_findopt500,1242,20.7715,-707774.459981,49919.2002906
20260805-205046_r10_s10000_fast_gtr_findopt500,1261,21.0374,-707631.19303,49775.9333392
20260805-205046_r10_s10000_fast_gtr_findopt500,1394,22.8971,-707619.129265,49763.8695749
