run_id,candidates,time_elapsed,logL,true_minus_current
r10_s10000_fast_gtr_findopt500_mean_of_10,0,3.3454,-722502.707262,64647.4475715
r10_s10000_fast_gtr_findopt500_mean_of_10,0,3.35018,-722490.3511245085,64635.091434005124
r10_s10000_fast_gtr_findopt500_mean_of_10,0,3.35027,-722494.2627578903,64639.00306738793
r10_s10000_fast_gtr_findopt500_mean_of_10,1,3.36024,-722442.7677359716,64587.50804545501
r10_s10000_fast_gtr_findopt500_mean_of_10,1,3.37008,-722410.9510024802,64555.69131195122
r10_s10000_fast_gtr_findopt500_mean_of_10,1,3.37481,-722401.4836623659,64546.22397183751
r10_s10000_fast_gtr_findopt500_mean_of_10,1,3.37492,-722415.4480532154,64560.18836269115
r10_s10000_fast_gtr_findopt500_mean_of_10,1,3.37973,-722406.324475909,64551.06478539175
r10_s10000_fast_gtr_findopt500_mean_of_10,1,3.38225,-722407.6048473733,64552.345156859505
r10_s10000_fast_gtr_findopt500_mean_of_10,1,3.38823,-722396.5321431912,64541.27245268373
r10_s10000_fast_gtr_findopt500_mean_of_10,2,3.39487,-722372.9172478227,64517.657557321094
r10_s10000_fast_gtr_findopt500_mean_of_10,3,3.40877,-722341.4617265097,64486.202036025235
r10_s10000_fast_gtr_findopt500_mean_of_10,3,3.41289,-722333.6596263621,64478.39993587781
r10_s10000_fast_gtr_findopt500_mean_of_10,4,3.42066,-722321.837612504,64466.577922023505
r10_s10000_fast_gtr_findopt500_mean_of_10,6,3.45101,-722272.3836261757,64417.12393567468
r10_s10000_fast_gtr_findopt500_mean_of_10,7,3.46049,-722262.0141481075,64406.754457613
r10_s10000_fast_gtr_findopt500_mean_of_10,9,3.49327,-722216.2052410558,64360.94555060172
r10_s10000_fast_gtr_findopt500_mean_of_10,10,3.5115,-722193.6493671257,64338.38967669641
r10_s10000_fast_gtr_findopt500_mean_of_10,12,3.53184,-722167.1547328905,64311.89504247792
r10_s10000_fast_gtr_findopt500_mean_of_10,15,3.58069,-722107.2089172748,64251.949226895944
r10_s10000_fast_gtr_findopt500_mean_of_10,16,3.59008,-722096.0130390839,64240.75334870866
r10_s10000_fast_gtr_findopt500_mean_of_10,19,3.62901,-722050.1280048555,64194.868314510444
r10_s10000_fast_gtr_findopt500_mean_of_10,22,3.67486,-721979.3234132333,64124.063722894076
r10_s10000_fast_gtr_findopt500_mean_of_10,22,3.6784,-721973.8077090045,64118.548018663874
r10_s10000_fast_gtr_findopt500_mean_of_10,26,3.73169,-721895.0820845475,64039.822394236675
