run_id,candidates,time_elapsed,logL,true_minus_current
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,0,11.8873,-671814.105498,13958.8458079
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5,11.9565,-671618.926824,13763.6671336
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,28,12.2791,-671591.442294,13736.1826033
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,53,12.6309,-671087.49854,13232.2388495
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,83,13.0511,-671084.084355,13228.8246648
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,101,13.3019,-671007.485943,13152.2262522
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,104,13.3439,-670431.179562,12575.9198712
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,128,13.6789,-670418.872931,12563.6132407
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,162,14.1524,-670343.49908,12488.2393893
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,306,16.1563,-670332.9397,12477.6800097
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,315,16.2821,-670314.621505,12459.3618143
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,326,16.4378,-670222.376863,12367.1171731
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,327,16.4522,-670031.571714,12176.3120234
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,373,17.1127,-669928.768222,12073.5085318
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,377,17.17,-669682.609685,11827.349995
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,434,17.9809,-669665.792382,11810.5326921
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,488,18.7462,-669630.878264,11775.6185733
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,498,18.8895,-669450.331171,11595.071481
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,500,18.9186,-666343.774537,8488.51484668
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,562,19.8022,-669327.404412,11472.1447219
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,583,20.1023,-669143.546829,11288.2871386
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,689,21.614,-669127.07763,11271.8179394
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,735,22.2709,-668791.394212,10936.1345217
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,746,22.4269,-668620.303175,10765.0434843
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,828,23.59,-668570.550398,10715.290708
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1000,26.0307,-664083.724473,6228.46478214
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1196,28.8043,-668490.083473,10634.8237827
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1199,28.8472,-668117.346871,10262.0871811
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1500,33.1257,-663359.896672,5504.6369821
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1511,33.2824,-667716.642404,9861.38271398
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1706,36.0488,-667651.698426,9796.43873552
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1840,37.9548,-667580.379301,9725.11961015
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2000,40.2329,-662194.16847,4338.90877961
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2163,42.5508,-667555.60652,9700.34682929
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2462,46.8045,-666698.893773,8843.63408258
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2471,46.9327,-666693.971345,8838.71165436
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2500,52.4877,-661975.636389,4120.37669857
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2500,52.488,-661975.473983,4120.21429272
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2757,56.1409,-661922.893771,4067.63408041
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2769,56.3115,-661808.58482,3953.32512978
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2921,58.4664,-661581.710311,3726.45062023
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,3000,59.586,-661082.404359,3227.14466911
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,3500,66.7044,-661082.404359,3227.14466911
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,3778,70.6613,-661581.710311,3726.45062023
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,4000,73.8183,-660924.579264,3069.3195734
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,4500,80.9197,-660924.579264,3069.3195734
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5000,92.5245,-660924.787558,3069.52786805
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5000,92.5245,-660924.57891,3069.31921962
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5009,92.6526,-660726.969907,2871.71021695
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5179,95.069,-659281.827879,1426.56818911
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5500,99.6784,-658625.574041,770.314350883
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5850,104.702,-659189.399288,1334.13959775
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,6000,106.848,-658627.70378,772.44408921
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,6500,114.008,-658627.70378,772.44408921
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,6631,115.881,-659171.961123,1316.70143233
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,7000,121.065,-658622.655749,767.396058648
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,7500,131.987,-658622.879406,767.619715443
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,7500,131.988,-658622.655784,767.396093831
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,8000,139.028,-658622.655784,767.396093831
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,8500,146.067,-658622.655784,767.396093831
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,8580,147.196,-658453.154492,597.894801178
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,9000,153.033,-658338.433309,483.173618441
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,9500,160.007,-658338.433309,483.173618441
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,9637,161.919,-658413.725634,558.46594316
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,10000,169.941,-658274.361977,419.102287113
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,10000,169.941,-658274.106325,418.846634468
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,10000,169.941,-658274.361977,419.102287113
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,0,11.901,-671814.105498,13958.8458079
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,37,12.4189,-671793.552658,13938.2929673
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,94,13.2196,-671451.406709,13596.1470186
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,100,13.3048,-670988.490702,13133.2310112
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,146,13.9505,-670957.044593,13101.7849023
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,184,14.4864,-670163.701563,12308.4418726
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,241,15.2879,-669979.886467,12124.6267765
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,273,15.7389,-669759.476038,11904.2163476
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,296,16.0632,-669656.840293,11801.5806022
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,341,16.6932,-669598.450565,11743.1908744
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,358,16.9337,-669576.705272,11721.4455814
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,372,17.1313,-669171.435218,11316.1755272
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,387,17.3427,-668976.781284,11121.5215941
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,500,18.9357,-667322.259071,9466.9993808
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,607,20.4388,-668681.431977,10826.1722866
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,635,20.8327,-668659.014427,10803.7547369
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,767,22.6894,-668643.861293,10788.6016023
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,945,25.1946,-668458.967039,10603.7073489
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1000,25.9684,-666120.774983,8265.51529263
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1081,27.111,-668421.566774,10566.3070838
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1104,27.4351,-667961.469032,10106.209342
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1117,27.6181,-667393.630056,9538.37036592
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1288,30.0276,-667374.084001,9518.82431036
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1483,32.8055,-666629.594329,8774.33463869
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1500,33.0463,-663606.412796,5751.15310551
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1574,34.1015,-666608.50337,8753.24367944
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1900,38.7321,-666194.245497,8338.98580682
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2000,40.1557,-662714.689182,4859.42949154
