run_id,candidates,time_elapsed,logL,true_minus_current
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,500,18.9186,-666343.774537,8488.51484668
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1000,26.0307,-664083.724473,6228.46478214
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1500,33.1257,-663359.896672,5504.6369821
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2000,40.2329,-662194.16847,4338.90877961
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2500,52.4877,-661975.636389,4120.37669857
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,2500,52.488,-661975.473983,4120.21429272
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,3000,59.586,-661082.404359,3227.14466911
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,3500,66.7044,-661082.404359,3227.14466911
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,4000,73.8183,-660924.579264,3069.3195734
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,4500,80.9197,-660924.579264,3069.3195734
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5000,92.5245,-660924.787558,3069.52786805
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5000,92.5245,-660924.57891,3069.31921962
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,5500,99.6784,-658625.574041,770.314350883
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,6000,106.848,-658627.70378,772.44408921
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,6500,114.008,-658627.70378,772.44408921
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,7000,121.065,-658622.655749,767.396058648
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,7500,131.987,-658622.879406,767.619715443
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,7500,131.988,-658622.655784,767.396093831
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,8000,139.028,-658622.655784,767.396093831
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,8500,146.067,-658622.655784,767.396093831
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,9000,153.033,-658338.433309,483.173618441
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,9500,160.007,-658338.433309,483.173618441
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,10000,169.941,-658274.361977,419.102287113
20260805-215130_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,10000,169.941,-658274.106325,418.846634468
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,500,18.9357,-667322.259071,9466.9993808
20260805-215709_r10_s10000_fast_fullreopt100x2500init_gtr_findopt500,1000,25.9684,-666120.774983,8265.51529263
