run_id,candidates,time_elapsed,logL,true_minus_current
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,500,18.7948,-666451.719172,8596.4594818
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,501,18.8342,-665817.7778552207,7962.5181650805025
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,503,18.8816,-665901.0986068245,8045.838916764053
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,504,18.9123,-666105.9466350477,8250.68694498671
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,504,18.9179,-666235.5832992073,8380.323609048313
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,503,18.9186,-666253.43399422,8398.174304034139
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,504,18.9357,-666401.5533666399,8546.293676451356
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,504,18.9508,-666453.8581096584,8598.598419386637
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,506,18.9863,-666514.1156566284,8658.855966328272
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,511,19.0698,-666603.4794218326,8748.219731516312
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,982,25.7023,-664696.23238228,6840.972691860184
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,988,25.79,-664668.4995336836,6813.239843262265
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1000,25.9558,-664620.0320925155,6764.77240209102
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1000,25.9572,-664619.6633230646,6764.40363264008
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1000,25.9684,-664616.9379682328,6761.678277808472
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1001,25.9704,-664616.4144179742,6761.154727549857
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1002,25.9905,-664611.2693085851,6756.009618161284
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1005,26.0307,-664600.3424318912,6745.082741467621
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1012,26.129,-664575.744109199,6720.484418778117
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1012,26.1336,-664574.5138251882,6719.2541347673005
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1472,32.6196,-662916.0794374949,5060.81974723107
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1479,32.7132,-662895.8741313217,5040.61444106087
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1498,32.9836,-662834.9842746747,4979.724584425275
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1499,32.9926,-662833.1404580646,4977.880767815645
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1499,32.9994,-662831.7655556303,4976.505865381544
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1503,33.0463,-662823.0777290935,4967.818038846286
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1508,33.1257,-662810.1942645758,4954.934574331592
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1510,33.1486,-662806.3365216411,4951.076831397242
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1511,33.1647,-662804.1528486082,4948.893158364505
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1522,33.315,-662786.3472963029,4931.087606058756
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1969,39.5913,-662164.7451416139,4309.4854513179125
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1971,39.6261,-662161.4078102388,4306.148119942215
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1994,39.9701,-662130.9910931939,4275.731402887179
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1995,39.9885,-662129.7566873423,4274.4969970349775
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1997,40.0286,-662126.7862621179,4271.52657180916
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2003,40.1272,-662118.6466931634,4263.387002851738
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2004,40.1557,-662116.6663064344,4261.406616121994
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2004,40.1612,-662116.3531124843,4261.093422171643
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2008,40.2329,-662111.6325735647,4256.372883250405
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2017,40.4442,-662100.8100991196,4245.550408802141
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2477,51.3908,-661656.1361671019,3800.8764767301373
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2477,51.391,-661656.1284470998,3800.868756737998
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2483,51.5127,-661651.5374349984,3796.277744636226
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2483,51.5129,-661651.5309270967,3796.271236773539
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2494,51.7361,-661644.0091164584,3788.7494261374004
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2494,51.7363,-661644.0019373114,3788.7422469844014
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2503,51.9225,-661636.468392628,3781.208702305534
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2503,51.9228,-661636.4562172272,3781.1965269125235
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2503,51.9264,-661636.3104517605,3781.0507614461035
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2503,51.9267,-661636.3008052409,3781.0411148893945
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2504,51.9468,-661635.6656975197,3780.406007168892
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2504,51.9471,-661635.6586957902,3780.3990053733623
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2508,52.008,-661633.8435232632,3778.5838328484742
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2508,52.0083,-661633.8374585272,3778.5777681314808
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2510,52.0339,-661633.2814393926,3778.021748997578
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2510,52.0342,-661633.274708238,3778.0150178520685
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2530,52.344,-661625.2938978758,3770.0342074968153
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2530,52.3443,-661625.2872356024,3770.0275452213864
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2540,52.4877,-661621.821111961,3766.561421582844
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2540,52.488,-661621.7981550274,3766.538464664146
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2958,58.3552,-661416.6235284443,3561.3638382283198
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2970,58.5168,-661409.5403308423,3554.2806406296827
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2976,58.6092,-661404.1963968207,3548.9367066093337
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2997,58.9,-661387.3132520961,3532.0535618826348
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2998,58.9162,-661386.3734116189,3531.1137214052033
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2999,58.9351,-661385.1262915438,3529.8666013297116
