run_id,candidates,time_elapsed,logL,true_minus_current
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,0,11.8528,-671814.105498,13958.8458079
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,0,11.8625,-671792.57773174,13937.3180416443
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1,11.869,-671786.5049656123,13931.245275516267
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2,11.8843,-671755.3195918157,13900.059901721963
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1,11.8873,-671765.3082172159,13910.048527118377
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,2,11.8959,-671759.4197395724,13904.160049461643
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1,11.8981,-671765.1230508727,13909.863360760966
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1,11.8995,-671770.2305045327,13914.970814420998
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,1,11.901,-671773.7039695908,13918.44427947899
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,3,11.9358,-671736.5701649465,13881.310474798534
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,5,11.9565,-671710.8226606871,13855.562970495343
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,5,11.9651,-671702.7393649974,13847.479674790662
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,5,11.9698,-671710.7844363285,13855.524746123967
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,6,11.9785,-671701.9729994818,13846.713309262466
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,7,11.9974,-671681.976194714,13826.716504479842
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,15,12.1043,-671566.255123861,13710.995433569924
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,15,12.1102,-671560.5177791069,13705.258088812761
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,17,12.1368,-671543.687279507,13688.427589188015
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,19,12.1612,-671528.217717666,13672.958027322788
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,20,12.1755,-671501.6558652592,13646.396174921965
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,20,12.1825,-671495.2036723975,13639.943982051638
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,22,12.2061,-671474.4115712766,13619.151880904403
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,22,12.2077,-671472.6432640485,13617.383573674404
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,23,12.2214,-671440.4221476214,13585.162457199956
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,23,12.2222,-671438.3494428534,13583.08975242867
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,27,12.2791,-671362.6208247638,13507.361134266073
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,29,12.3047,-671325.1005762236,13469.840885696733
r10_s10000_fast_fullreopt100x2500init_gtr_findopt500_mean_of_10,32,12.3466,-671274.9184332059,13419.658742669973
