run_id,candidates,time_elapsed,logL,true_minus_current
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,0,11.8479,-671814.105498,13958.8458079
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,43,12.4489,-671767.86258,13912.6028897
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,55,12.6163,-670986.259921,13131.0002311
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,131,13.6766,-670790.535027,12935.2753364
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,188,14.4709,-670623.656972,12768.3972812
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,264,15.5337,-670119.641084,12264.3813934
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,281,15.7717,-669961.855434,12106.5957439
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,294,15.9539,-669647.975949,11792.7162583
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,328,16.4284,-669642.397785,11787.1380946
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,346,16.6795,-669256.362338,11401.1026477
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,368,16.9861,-668758.152571,10902.892881
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,422,17.7411,-668682.673479,10827.4137889
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,461,18.2867,-668605.342404,10750.0827133
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,498,18.8043,-668572.755544,10717.4958537
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,547,19.4861,-668471.589224,10616.3295338
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,561,19.6809,-668114.392887,10259.1331969
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,647,20.8827,-665631.392504,7776.13281348
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,709,21.7508,-667708.876374,9853.6166839
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,724,21.9615,-667501.557574,9646.29788342
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,734,22.1009,-667204.475174,9349.21548322
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,824,23.361,-667204.475174,9349.21548322
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1136,27.7196,-666938.840929,9083.58123866
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1211,28.7574,-666865.831354,9010.571664
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1234,29.0748,-663862.119136,6006.8594456
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1387,31.193,-666552.176892,8696.91720124
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1663,35.0108,-666254.349972,8399.09028172
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1707,35.6193,-666107.723061,8252.46337014
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1719,35.7858,-665448.977584,7593.71789335
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1796,36.8513,-662365.626736,4510.36704575
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,2124,41.3766,-665430.391294,7575.13160336
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,2204,42.4936,-665409.904627,7554.64493622
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,2218,42.6883,-665327.811977,7472.55228634
