run_id,candidates,time_elapsed,logL,true_minus_current
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,647,20.8827,-665631.392504,7776.13281348
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1234,29.0748,-663862.119136,6006.8594456
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1796,36.8513,-662365.626736,4510.36704575
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,2319,44.0953,-661816.831621,3961.57193097
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,2870,56.59,-661481.291712,3626.03202155
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,4213,75.3566,-661254.032531,3398.77284067
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,4400,77.9863,-661128.084927,3272.825237
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,4900,84.9732,-661128.084927,3272.825237
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,6429,109.383,-659186.462367,1331.20267663
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,6929,116.398,-659186.462367,1331.20267663
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,7429,123.405,-659186.462367,1331.20267663
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,8941,147.455,-659033.962323,1178.70263244
20260805-233658_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,10485,172.35,-658110.011519,254.751828345
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,591,20.1133,-668617.043385,10761.7836949
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1235,29.1327,-662514.368725,4659.10903467
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1787,36.8889,-661755.536335,3900.27664431
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,2312,44.2574,-660975.950886,3120.69119583
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,3409,64.3682,-659213.94553,1358.68583959
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,3930,71.5843,-659151.426629,1296.16693857
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,5451,95.9167,-659123.962186,1268.702496
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,5959,102.96,-658421.973941,566.714250593
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,6480,110.187,-658245.862408,390.602717491
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,6994,117.318,-658245.835569,390.575878147
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,7510,124.495,-658244.54121,389.281519692
20260805-234234_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,10544,172.707,-657807.318196,-47.9414938666
20260805-234809_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,726,21.9975,-664277.536402,6422.27671174
20260805-234809_r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500,1296,29.9407,-662980.261012,5125.00132132
