run_id,candidates,time_elapsed,logL,true_minus_current
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,577,19.9209,-667761.656566,9906.39687609
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,591,20.1133,-668155.3482007228,10300.088510715954
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,607,20.4217,-667845.1242213572,9989.864531194611
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,619,20.5781,-667541.8747889802,9686.615098767734
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,642,20.8827,-667054.4992390692,9199.239548787486
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,656,21.0772,-667080.4078943119,9225.148203955236
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,667,21.2262,-666978.3969852057,9123.137294885204
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,681,21.4119,-666573.8909120494,8718.631221713047
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,718,21.9275,-665849.7002303201,7994.44054002298
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,723,21.9975,-665671.7465889405,7816.486898646281
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1161,28.1166,-663759.0477983858,5903.788107982864
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1182,28.4102,-663671.164276452,5815.9045860462775
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1213,28.845,-663549.1513089037,5693.891618492454
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1230,29.0748,-663490.994889911,5635.735199496103
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1234,29.1327,-663476.4781714317,5621.218481015735
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1235,29.1509,-663472.9684390698,5617.708748653558
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1243,29.2593,-663452.3035967912,5597.043906373308
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1261,29.508,-663410.1042416526,5554.844551232988
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1278,29.7451,-663374.3393601847,5519.0796697642745
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1292,29.9407,-663345.4563546574,5490.196664238338
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1712,35.7956,-662494.8598324226,4639.600142132387
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1712,35.7983,-662494.4858648202,4639.2261745299675
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1730,36.0456,-662464.2126790081,4608.952988723603
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1752,36.35,-662415.0926471639,4559.83295688896
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1787,36.8513,-662339.5464678416,4484.286777580839
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1790,36.8889,-662334.3188414549,4479.059151195275
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1791,36.9028,-662332.3752179003,4477.115527641094
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1793,36.9357,-662327.3574565548,4472.097766296836
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1818,37.2723,-662272.7141463535,4417.454456101897
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1819,37.2879,-662270.6436703828,4415.3839801313
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2214,42.9513,-661589.5215266561,3734.261836413095
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2223,43.0753,-661573.4960777455,3718.2363875031465
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2267,43.7474,-661483.8061383308,3628.546448094237
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2276,43.8906,-661463.965614801,3608.7059245648516
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2288,44.0953,-661442.9989342357,3587.739243998257
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2297,44.2574,-661427.1883513478,3571.9286611084694
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2304,44.3772,-661415.7213952641,3560.461705022373
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2324,44.7493,-661382.2587344267,3526.999044182863
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2338,45.012,-661358.8097305739,3503.550040328368
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2893,55.6947,-660643.1659240583,2787.906233717643
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2918,56.1668,-660610.5129056225,2755.253215270245
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2923,56.249,-660605.4178309765,2750.1581406226423
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2929,56.3473,-660599.664264785,2744.4045744298924
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2944,56.59,-660582.9410332976,2727.68134293828
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,3382,63.3715,-660125.6613047537,2270.4016143041536
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,3390,63.499,-660118.7221861973,2263.462495747571
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,3428,64.0879,-660094.0739008873,2238.8142104357175
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,3447,64.3682,-660084.8454089088,2229.5857184589486
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,3836,70.1595,-659939.8977571246,2084.6380667166854
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,3908,71.231,-659913.2953777418,2058.0356873431847
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,3909,71.2464,-659913.0000203453,2057.740329946705
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,3932,71.5843,-659907.7188950023,2052.4592046046923
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,4021,72.9081,-659888.0263819315,2032.7666915404614
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,4188,75.3566,-659860.1115457587,2004.8518553828758
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,4325,77.3646,-659830.0332267873,1974.773536447925
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,4367,77.9863,-659821.2729228464,1966.0132325173158
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,4384,78.2331,-659818.9773231155,1963.7176327874436
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,4798,84.3038,-659747.5237214824,1892.2640311839373
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,4843,84.9732,-659738.352676741,1883.0929864456552
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,4886,85.6156,-659724.4417165729,1869.1820262796605
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,4920,86.1276,-659712.0845387387,1856.8248484465682
