run_id,candidates,time_elapsed,logL,true_minus_current
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,0,11.8479,-671814.105498,13958.8458079
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1,11.8736,-671813.1167767083,13957.857086604043
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1,11.8766,-671813.369407181,13958.109717077847
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1,11.8778,-671813.506826766,13958.247136663287
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1,11.8867,-671812.8292094773,13957.569519370043
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,1,11.8936,-671804.6079816548,13949.348291554057
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2,11.9065,-671792.175644426,13936.915954331545
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2,11.9118,-671789.9597390317,13934.700048938565
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2,11.9134,-671788.1959612587,13932.936271163786
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,2,11.9217,-671787.1416515849,13931.881961469571
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,3,11.9254,-671785.3199809204,13930.06029079593
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,6,11.9682,-671754.0997715187,13898.840081271483
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,6,11.987,-671746.692361979,13891.43267173034
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,7,11.9971,-671739.4891375059,13884.22944724841
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,11,12.0511,-671706.2085395905,13850.94884931093
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,12,12.0662,-671696.9902857565,13841.730595466599
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,15,12.1141,-671669.3131454876,13814.053455175777
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,21,12.1987,-671610.3022239638,13755.04253365129
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,24,12.2349,-671590.2681044412,13735.008414117436
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,26,12.2602,-671579.3433216024,13724.083631274083
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,29,12.302,-671559.149066282,13703.889375942981
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,33,12.3628,-671538.4789372144,13683.21924684782
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,35,12.3872,-671533.4217165948,13678.162026216261
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,36,12.3999,-671530.5532717879,13675.29358140518
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,36,12.4008,-671530.3884784837,13675.128788100648
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,39,12.4489,-671522.0636004979,13666.80391010643
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,51,12.6163,-671416.218713009,13560.959022633851
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,53,12.6398,-671411.8984860383,13556.638795658135
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,54,12.6578,-671401.0414500313,13545.781759652591
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,63,12.7802,-671275.3021422371,13420.042451919784
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,63,12.7862,-671271.3262411971,13416.066550881058
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,64,12.7976,-671263.3941553648,13408.134465052519
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,69,12.8636,-671241.7646046103,13386.504914287283
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,72,12.91,-671226.6309371486,13371.371246819155
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,82,13.0393,-671182.1090668188,13326.849376450144
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,84,13.0783,-671170.193661845,13314.933971464434
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,88,13.1239,-671158.7012795156,13303.441589122172
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,91,13.1706,-671130.3506635958,13275.090973193534
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,92,13.1889,-671120.0879579267,13264.828267521352
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,102,13.3242,-671051.4008549761,13196.141164584546
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,104,13.3472,-671034.5912015738,13179.331511185908
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,104,13.3592,-671029.010299609,13173.75060922057
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,111,13.4469,-670992.7058476706,13137.446157283888
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,120,13.5711,-670925.452535576,13070.192845219706
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,125,13.6426,-670884.2091725108,13028.949482180531
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,127,13.6766,-670862.4954231911,13007.235732870586
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,128,13.6864,-670856.2117636726,13000.952073355276
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,128,13.6907,-670854.4043546981,12999.14466438221
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,137,13.8089,-670803.8450150938,12948.585324789881
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,141,13.8757,-670736.0620375791,12880.80234731325
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,143,13.8924,-670720.7315302576,12865.471839995287
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,143,13.8972,-670719.154652701,12863.894962437931
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,147,13.9491,-670702.5313793827,12847.271689108562
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,148,13.9669,-670697.38288271,12842.123192428075
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,157,14.0981,-670659.8166180678,12804.556927703354
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,162,14.1637,-670643.3269826842,12788.067292296619
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,168,14.2387,-670616.5742402913,12761.314549893508
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,170,14.2732,-670606.86890479,12751.60921439034
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,173,14.3199,-670592.9207497428,12737.661059350261
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,175,14.3396,-670588.2570665729,12732.99737617975
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,177,14.3653,-670581.7420461315,12726.482355740669
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,184,14.4709,-670553.340247844,12698.080557457364
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,188,14.5196,-670538.9557106642,12683.696020281777
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,195,14.6282,-670508.0680993285,12652.808408961799
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,200,14.6935,-670483.4923179059,12628.23262756724
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,204,14.7501,-670454.8279175123,12599.568227175125
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,207,14.7932,-670436.4100104661,12581.150320150558
r10_s10000_fast_fullreopt100x2500init_gtr_investigate3_shrink500_findopt500_mean_of_10,208,14.8071,-670427.4891263305,12572.229436013411
