run_id,candidates,time_elapsed,logL,true_minus_current
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,0,874.469,-657853.747124,-1.51256641373
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,500,881.516,-657853.747124,-1.51256647974
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,1000,888.579,-657853.747124,-1.51256647974
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,1500,895.641,-657853.747124,-1.51256647974
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,2000,902.698,-657853.747124,-1.51256647974
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,2500,909.751,-657853.747124,-1.51256647974
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,2753,913.321,-657828.337324,-26.9223660626
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,3021,917.1,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,3521,924.149,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,4021,931.188,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,4521,938.238,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,5021,945.29,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,5521,952.43,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,6021,959.489,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,6521,966.545,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,7021,973.6,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,7521,980.658,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,8021,987.716,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,8521,994.776,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,9021,1001.84,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,9521,1008.88,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,10021,1015.93,-657796.925831,-58.3338592894
20260806-105659_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,10021,1015.93,-657828.337324,-26.9223660626
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,0,881.024,-657860.88466,5.62496987788
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,500,888.279,-657860.88466,5.6249699255
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,1000,895.522,-657860.88466,5.6249699255
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,1500,902.784,-657860.88466,5.6249699255
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,1852,907.883,-657845.163738,-10.095952303
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,2025,910.376,-657826.116388,-29.1433021657
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,2319,914.622,-657822.219676,-33.0400140325
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,2540,917.833,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,3040,925.094,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,3540,932.372,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,4040,939.634,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,4540,946.886,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,5040,954.142,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,5540,961.391,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,6040,968.643,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,6540,975.914,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,7040,983.176,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,7540,990.437,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,8040,997.703,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,8540,1004.96,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,9040,1012.22,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,9540,1019.47,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,10040,1026.7,-657764.298288,-90.9614022137
20260806-111606_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,10040,1026.7,-657822.219676,-33.0400140325
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,0,874.415,-657799.918787,-55.3409037804
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,500,881.498,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,1000,888.591,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,1500,895.697,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,2000,902.814,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,2500,909.929,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,3000,917.098,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,3500,924.187,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,4000,931.272,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,4500,938.361,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,5000,945.479,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,5500,952.596,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,6000,959.696,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,6500,966.791,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,7000,973.895,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,7500,980.995,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,8000,988.109,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,8500,995.222,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,9000,1002.31,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,9500,1009.4,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,10000,1016.52,-657799.918787,-55.3409037435
20260806-113526_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,10000,1016.52,-657799.918787,-55.3409037804
20260806-115434_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,0,874.849,-657872.52243,17.262739873
20260806-115434_r10_s10000_iqtreestart100_fast_gtr_investigate3_shrink200_findopt500,87,876.097,-657847.174479,-8.08521176653
