run_id,candidates,time_elapsed,logL,true_minus_current
20260805-201343_r10_s10000_gtr_findopt500,0,3.32821,-722502.707262,64647.4475715
20260805-201343_r10_s10000_gtr_findopt500,89,4.55543,-721449.625275,63594.3655847
20260805-201343_r10_s10000_gtr_findopt500,279,7.15073,-721241.804719,63386.5450287
20260805-201343_r10_s10000_gtr_findopt500,287,7.25965,-720448.552958,62593.2932678
20260805-201343_r10_s10000_gtr_findopt500,688,12.6767,-720068.143443,62212.8837531
20260805-201343_r10_s10000_gtr_findopt500,974,16.542,-719403.587815,61548.3281242
20260805-201343_r10_s10000_gtr_findopt500,1048,17.5407,-719383.324928,61528.065238
20260805-201343_r10_s10000_gtr_findopt500,1613,25.1775,-719218.980873,61363.721183
20260805-201343_r10_s10000_gtr_findopt500,2121,32.1188,-718895.890636,61040.6309456
20260805-201343_r10_s10000_gtr_findopt500,2705,40.0839,-718736.256339,60880.9966483
20260805-201343_r10_s10000_gtr_findopt500,3199,46.8428,-718407.38937,60552.1296797
20260805-201343_r10_s10000_gtr_findopt500,3802,55.0725,-716269.851186,58414.5914961
20260805-201343_r10_s10000_gtr_findopt500,4899,70.085,-716033.214511,58177.9548202
20260805-201343_r10_s10000_gtr_findopt500,5335,76.0559,-715923.993179,58068.7334889
20260805-201343_r10_s10000_gtr_findopt500,5547,78.9521,-715386.771203,57531.5115123
20260805-201343_r10_s10000_gtr_findopt500,6072,86.1365,-715214.911845,57359.6521543
20260805-201343_r10_s10000_gtr_findopt500,6278,88.9495,-715209.775245,57354.515555
20260805-201343_r10_s10000_gtr_findopt500,6408,90.7128,-714091.572647,56236.312957
20260805-201343_r10_s10000_gtr_findopt500,7716,108.526,-713416.819629,55561.5599385
20260805-201343_r10_s10000_gtr_findopt500,8287,116.297,-712907.008816,55051.7491259
20260805-201343_r10_s10000_gtr_findopt500,10159,141.782,-712669.133155,54813.8734651
20260805-201343_r10_s10000_gtr_findopt500,10401,145.075,-709514.23372,51658.9740292
20260805-201343_r10_s10000_gtr_findopt500,11517,160.195,-709395.389555,51540.1298648
20260805-201343_r10_s10000_gtr_findopt500,12081,167.808,-708726.421481,50871.1617906
20260805-201343_r10_s10000_gtr_findopt500,12389,171.986,-707737.449077,49882.1893866
20260805-201343_r10_s10000_gtr_findopt500,12658,175.628,-707276.697555,49421.4378649
20260805-201343_r10_s10000_gtr_findopt500,13845,191.709,-706989.049417,49133.7897271
20260805-201343_r10_s10000_gtr_findopt500,14944,206.609,-706798.104695,48942.8450046
20260805-201343_r10_s10000_gtr_findopt500,15715,217.078,-706784.974234,48929.7145435
20260805-201343_r10_s10000_gtr_findopt500,16568,228.62,-706584.706229,48729.446539
20260805-201343_r10_s10000_gtr_findopt500,18583,256.025,-706479.724197,48624.4645067
20260805-201343_r10_s10000_gtr_findopt500,19082,262.849,-706459.156505,48603.8968144
20260805-201343_r10_s10000_gtr_findopt500,20008,275.442,-706448.015646,48592.755956
20260805-201343_r10_s10000_gtr_findopt500,21409,294.576,-706146.392656,48291.1329655
20260805-201343_r10_s10000_gtr_findopt500,22075,303.685,-705661.912759,47806.6530684
20260805-201343_r10_s10000_gtr_findopt500,24090,331.143,-705384.002144,47528.7424536
20260805-201343_r10_s10000_gtr_findopt500,24981,343.269,-704923.238784,47067.9790933
20260805-201343_r10_s10000_gtr_findopt500,26750,367.642,-704776.457054,46921.1973637
20260805-201343_r10_s10000_gtr_findopt500,26929,370.106,-704611.088968,46755.8292773
20260805-201343_r10_s10000_gtr_findopt500,31815,437.124,-704546.717685,46691.4579948
20260805-201343_r10_s10000_gtr_findopt500,33523,460.629,-703679.619677,45824.3599869
20260805-201343_r10_s10000_gtr_findopt500,39952,549.25,-703574.108729,45718.8490382
20260805-201343_r10_s10000_gtr_findopt500,40045,550.539,-703334.609897,45479.350207
20260805-201343_r10_s10000_gtr_findopt500,40449,556.106,-703310.291841,45455.032151
20260805-201343_r10_s10000_gtr_findopt500,40747,560.221,-659179.084914,1323.82522369
20260805-201343_r10_s10000_gtr_findopt500,41734,573.767,-702851.146006,44995.8863157
20260805-201343_r10_s10000_gtr_findopt500,46331,637.154,-701060.835098,43205.5754072
20260805-201343_r10_s10000_gtr_findopt500,51116,703.221,-701027.627069,43172.3673786
20260805-201343_r10_s10000_gtr_findopt500,53352,734.054,-700706.128585,42850.868895
20260805-201343_r10_s10000_gtr_findopt500,54136,744.891,-700592.760867,42737.5011762
20260805-201343_r10_s10000_gtr_findopt500,63773,877.921,-700572.109771,42716.8500804
20260805-201343_r10_s10000_gtr_findopt500,66547,916.516,-700519.551073,42664.2913831
20260805-201343_r10_s10000_gtr_findopt500,67963,936.237,-700144.006355,42288.7466642
20260805-201343_r10_s10000_gtr_findopt500,68396,942.254,-699644.402103,41789.1424128
