run_id,candidates,time_elapsed,logL,true_minus_current
20260806-014454_iqtree_nni_ownstart_nstop100,1,24.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,2,24.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,3,25.297,-657756.559,-98.700690
20260806-014454_iqtree_nni_ownstart_nstop100,4,26.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,5,27.297,-657756.545,-98.714690
20260806-014454_iqtree_nni_ownstart_nstop100,6,28.297,-657756.526,-98.733690
20260806-014454_iqtree_nni_ownstart_nstop100,7,30.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,8,31.297,-657756.522,-98.737690
20260806-014454_iqtree_nni_ownstart_nstop100,9,32.297,-657756.658,-98.601690
20260806-014454_iqtree_nni_ownstart_nstop100,10,33.297,-657757.618,-97.641690
20260806-014454_iqtree_nni_ownstart_nstop100,11,34.297,-657756.550,-98.709690
20260806-014454_iqtree_nni_ownstart_nstop100,12,35.297,-657756.548,-98.711690
20260806-014454_iqtree_nni_ownstart_nstop100,13,36.297,-657756.563,-98.696690
20260806-014454_iqtree_nni_ownstart_nstop100,14,37.297,-657756.559,-98.700690
20260806-014454_iqtree_nni_ownstart_nstop100,15,38.297,-657756.548,-98.711690
20260806-014454_iqtree_nni_ownstart_nstop100,16,39.297,-657756.525,-98.734690
20260806-014454_iqtree_nni_ownstart_nstop100,17,41.297,-657756.536,-98.723690
20260806-014454_iqtree_nni_ownstart_nstop100,18,42.297,-657756.522,-98.737690
20260806-014454_iqtree_nni_ownstart_nstop100,19,43.297,-657756.544,-98.715690
20260806-014454_iqtree_nni_ownstart_nstop100,20,44.297,-657756.559,-98.700690
20260806-014454_iqtree_nni_ownstart_nstop100,21,45.297,-657756.583,-98.676690
20260806-014454_iqtree_nni_ownstart_nstop100,22,47.297,-657756.631,-98.628690
20260806-014454_iqtree_nni_ownstart_nstop100,23,48.297,-657757.029,-98.230690
20260806-014454_iqtree_nni_ownstart_nstop100,24,49.297,-657756.548,-98.711690
20260806-014454_iqtree_nni_ownstart_nstop100,25,50.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,26,52.297,-657756.742,-98.517690
20260806-014454_iqtree_nni_ownstart_nstop100,27,53.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,28,54.297,-657756.549,-98.710690
20260806-014454_iqtree_nni_ownstart_nstop100,29,55.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,30,57.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,31,58.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,32,59.297,-657756.527,-98.732690
20260806-014454_iqtree_nni_ownstart_nstop100,33,61.297,-657756.540,-98.719690
20260806-014454_iqtree_nni_ownstart_nstop100,34,62.297,-657756.522,-98.737690
20260806-014454_iqtree_nni_ownstart_nstop100,35,63.297,-657756.538,-98.721690
20260806-014454_iqtree_nni_ownstart_nstop100,36,65.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,37,66.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,38,67.297,-657756.522,-98.737690
20260806-014454_iqtree_nni_ownstart_nstop100,39,68.297,-657756.540,-98.719690
20260806-014454_iqtree_nni_ownstart_nstop100,40,70.297,-657756.524,-98.735690
20260806-014454_iqtree_nni_ownstart_nstop100,41,71.297,-657756.535,-98.724690
20260806-014454_iqtree_nni_ownstart_nstop100,42,72.297,-657756.522,-98.737690
20260806-014454_iqtree_nni_ownstart_nstop100,43,73.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,44,75.297,-657756.533,-98.726690
20260806-014454_iqtree_nni_ownstart_nstop100,45,76.297,-657756.522,-98.737690
20260806-014454_iqtree_nni_ownstart_nstop100,46,77.297,-657756.549,-98.710690
20260806-014454_iqtree_nni_ownstart_nstop100,47,79.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,48,80.297,-657756.768,-98.491690
20260806-014454_iqtree_nni_ownstart_nstop100,49,81.297,-657756.537,-98.722690
20260806-014454_iqtree_nni_ownstart_nstop100,50,82.297,-657756.561,-98.698690
20260806-014454_iqtree_nni_ownstart_nstop100,51,84.297,-657756.610,-98.649690
20260806-014454_iqtree_nni_ownstart_nstop100,52,85.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,53,86.297,-657756.532,-98.727690
20260806-014454_iqtree_nni_ownstart_nstop100,54,87.297,-657756.539,-98.720690
20260806-014454_iqtree_nni_ownstart_nstop100,55,89.297,-657756.698,-98.561690
20260806-014454_iqtree_nni_ownstart_nstop100,56,90.297,-657756.545,-98.714690
20260806-014454_iqtree_nni_ownstart_nstop100,57,91.297,-657756.521,-98.738690
20260806-014454_iqtree_nni_ownstart_nstop100,58,92.297,-657756.540,-98.719690
20260806-014454_iqtree_nni_ownstart_nstop100,59,94.297,-657756.524,-98.735690
